,x,y,label
18891,-4.3240013,0.75246793,Female
4376,1.563387,3.2298942,Female
5446,3.1691554,2.518699,Male
11712,5.552023,-2.04227,Male
6674,-2.9981546,-1.2345068,Female
28310,-1.732343,-1.2928926,Female
9926,-4.547413,10.808849,Male
19308,3.4218185,6.192735,Female
4271,2.6699204,0.46347728,Female
5835,-3.5937464,2.0387254,Male
23674,-2.5785806,5.677649,Female
9099,-0.08036633,0.589621,Male
23427,-6.4836965,-6.828041,Female
11490,3.5802531,1.3573432,Male
26693,3.604489,3.9389174,Female
18414,-6.0018063,1.066662,Female
8703,-8.53352,9.067525,Female
15227,-3.8736515,10.159511,Male
15769,4.5937333,4.7693396,Male
22103,0.047360476,6.463648,Male
10045,-4.004419,8.021095,Male
8104,-3.7591312,4.7250566,Female
10865,3.3331273,-0.9568756,Male
23636,-6.709724,4.6993213,Female
23694,-3.0654411,-10.736862,Female
12359,-8.111309,-0.66404146,Female
7864,-2.0401962,4.996105,Female
27797,-5.3690643,2.035616,Female
15808,0.13678162,-0.1738031,Male
18215,0.8637567,5.913814,Female
20409,-5.744393,-5.871029,Female
7675,-0.4274311,7.4394345,Female
20994,0.95639616,3.0015278,Female
20525,-9.259349,-0.7265382,Female
11456,-5.17515,-2.2166166,Male
11997,7.8783784,-0.8437477,Male
24672,5.5507193,-1.8270969,Male
22251,-2.6076875,-10.967267,Male
21262,1.8583469,4.509263,Male
17142,2.3459635,-4.356044,Male
18083,-8.1416855,-1.9869393,Male
23969,-4.3668485,-5.5136023,Female
17242,1.1999837,-1.1460531,Male
3468,-1.4469934,6.5917234,Female
20467,3.1816754,2.9528852,Female
17425,1.0384187,-3.992521,Male
21678,5.136007,-0.08040861,Male
9755,-2.8900678,9.870247,Male
22006,-0.59376717,3.349754,Male
22526,-2.334112,-9.259987,Male
3837,0.34297886,0.69236815,Female
22808,3.8552096,3.541802,Female
18185,-6.319653,5.920341,Male
300,-8.138993,5.1753592,Male
5292,3.7975466,5.70905,Male
21235,9.038298,3.2048852,Male
26996,-10.0166445,4.5302525,Female
22679,-4.239476,-5.1454186,Male
27530,-2.3091385,4.424565,Female
6781,-5.5268316,-3.4314096,Female
1194,-9.242025,1.39141,Male
22781,-2.1435368,-4.850675,Female
1712,-5.7489886,-8.189628,Male
5862,8.211798,3.4947696,Male
23038,-2.8888404,-2.9458156,Female
21218,-1.937386,-2.6027675,Female
1900,-2.4121559,4.0191207,Male
27486,-4.2831197,5.5021844,Female
19898,-8.152379,4.812801,Female
17049,-7.5755215,-2.809606,Male
3078,-5.8529267,9.686654,Female
20347,-3.8879802,4.8813276,Female
13793,-3.7539308,-0.2635489,Male
3209,-3.0529463,10.504613,Female
1253,-8.610875,6.470986,Male
7466,-6.8109965,-5.0843587,Female
13396,8.099492,2.0376086,Female
1208,-9.793435,-0.55522,Male
439,-5.8453555,-3.2954266,Male
17954,3.150834,-0.33727685,Male
6104,-5.8585024,-4.4204493,Female
5593,3.683932,7.850716,Male
6891,-3.031755,-10.321773,Female
17851,0.41347766,-2.0873444,Male
23257,-3.8779752,-7.276834,Female
68,-5.3606668,0.43422708,Male
21990,-0.31774274,4.4746804,Male
26758,-8.50325,4.9623213,Female
21521,1.3508904,3.7765,Male
1066,-9.367399,0.8856528,Male
21891,-1.93749,-9.836092,Male
27548,2.5741444,4.3826237,Female
13888,-5.8902254,-3.6216605,Male
11020,5.2535787,-1.3871063,Male
673,-8.629847,0.5209258,Male
4279,-1.7363678,5.257501,Female
18993,-2.6058095,-11.924237,Female
11287,4.259352,-1.7128861,Male
10949,2.206097,-3.3590176,Male
18679,1.4866726,1.0378237,Female
18208,-2.6855662,-10.626372,Female
19379,-3.7722046,6.183308,Female
12832,7.8605714,-3.7275732,Female
14405,-6.9998226,-2.2313578,Male
27892,-3.4672277,4.4738817,Female
13604,1.1210785,-0.365498,Female
21880,-1.0378962,2.820182,Male
28683,-9.448385,3.9888327,Female
13114,0.47080636,-6.2407255,Female
6798,-7.3535547,-2.646518,Female
24384,-3.925921,-1.4553134,Male
10182,-1.3025843,-0.28990847,Male
977,-5.2169633,-0.11577251,Male
18494,-1.5088241,9.565854,Female
13302,7.6400666,-0.6278183,Female
14797,-3.4316654,-2.3371904,Male
25635,9.425901,1.4380558,Male
6735,-8.676327,-4.2077723,Female
4701,8.435515,1.5285022,Male
8149,-6.8908715,3.702292,Female
10468,-4.9502764,12.378661,Male
7001,0.0708445,2.9090757,Female
25829,8.107364,3.6280851,Female
22358,-2.2425396,0.95629686,Male
16466,-2.0172725,-5.761118,Male
9003,-1.6973191,5.9652715,Female
16809,-5.6527233,-3.6756408,Male
26565,-10.556346,3.1853085,Female
7376,12.080663,2.7085924,Female
8280,-1.8916948,5.717657,Female
3801,-0.77736443,11.130346,Female
5614,-3.7053473,11.567848,Male
11400,2.1210253,-4.3418126,Male
20798,8.690217,5.2908926,Female
11836,8.626195,-1.7488831,Male
9659,-2.7170806,-8.476727,Male
25578,6.639133,-3.3160408,Male
841,11.90048,2.7232206,Male
27062,-7.7728534,4.925809,Female
22819,-1.6082901,4.8498254,Female
23614,-6.30167,-6.224575,Female
13438,7.882508,-1.0874487,Female
6423,-6.2539964,-5.7490535,Female
13709,-7.826101,0.65376216,Male
23281,-3.974578,-7.0112877,Female
7547,-6.345838,-4.339139,Female
4365,1.0929588,2.2286232,Female
10356,9.29898,-1.04457,Male
14152,-4.691295,-1.7833587,Male
11376,-2.7623184,6.081301,Male
3458,3.6224847,4.407785,Female
13351,-6.337382,-1.9473807,Female
11118,6.084716,-2.796948,Male
17892,6.114496,2.0888577,Male
24445,5.7725434,-2.3546784,Male
19833,-1.2970132,8.745251,Female
2305,-0.5792002,2.766941,Male
25589,9.234759,0.84613603,Male
27152,6.6850405,1.9522566,Female
11607,3.7300227,0.37687218,Male
5896,-2.0460706,6.0752096,Male
10413,-2.5400312,11.109157,Male
15273,-3.280075,-10.292233,Male
28488,-8.147404,2.5215185,Female
13583,-6.4392357,-1.8795037,Female
1488,9.403223,4.4746795,Male
28229,9.992158,3.6690392,Female
27221,11.288407,2.6755388,Female
18916,0.4865916,-7.0716515,Female
22330,-4.132022,5.6063657,Male
26709,-2.6630452,2.5652473,Female
19706,-8.531401,1.939187,Female
8187,-2.0451956,8.0714035,Female
4779,1.2142144,-6.054378,Male
576,-5.7568893,-1.4776438,Male
13649,2.2863786,-4.200845,Male
11004,7.8953524,1.2639433,Male
17612,2.5236948,-1.2759867,Male
26232,5.4773445,4.175952,Female
23512,-1.7458462,-5.392957,Female
24534,-6.6077356,-4.88155,Male
20069,4.977462,6.175016,Female
18107,5.353306,5.5012255,Male
27665,8.997001,5.3152437,Female
12848,7.4152775,0.30787864,Female
2177,-2.542291,-7.7478094,Male
1835,-7.9901195,10.162318,Male
24134,-2.8097255,-10.372549,Female
28419,-7.143531,5.490886,Female
12912,-8.838638,-0.7444431,Female
7861,-1.0939192,7.621621,Female
6592,-8.599525,-3.912355,Female
20546,-9.056708,3.4322271,Female
12587,-8.547581,1.3182869,Female
27219,-2.4825757,-11.273798,Female
13375,6.2019005,-3.1903982,Female
10545,-3.80072,9.650618,Male
21212,-2.8391654,3.8388536,Female
12943,-0.88525254,-8.803655,Female
11403,6.0717344,-3.009569,Male
17008,2.8937695,0.06180117,Male
6203,-2.2763693,-2.5031407,Female
817,-2.499206,6.0120573,Male
12273,7.917447,4.732538,Female
2677,-2.3767009,2.6771846,Male
6790,-1.4320334,4.6178203,Female
6705,10.304279,4.727758,Female
2392,-5.391652,2.3943982,Male
18713,9.362567,1.7972302,Female
4373,2.1535516,4.7209926,Female
18728,5.8198867,5.583963,Female
5728,-2.994122,-9.456289,Male
8100,-0.9056089,7.7948046,Female
3576,-5.0944514,8.978709,Female
18772,-3.3646526,7.2383432,Female
12798,-4.969954,-0.23394871,Female
4516,-3.0890563,8.613735,Female
10628,5.688276,-3.510322,Male
2796,-2.1202183,8.167041,Male
18420,3.1284058,1.380325,Female
18798,-0.6046874,0.0961975,Female
72,-1.745768,-9.682252,Male
17601,-7.2308064,-1.4596186,Male
11315,-4.0447083,-1.2349521,Male
27991,-2.8983662,-10.217773,Female
18240,-3.1052048,-5.114841,Female
17516,0.7740722,-0.41669026,Male
1325,-11.285649,2.7378538,Male
20741,-6.369442,5.5577445,Female
4453,7.439945,6.295164,Female
19906,-3.5084698,3.71347,Female
18068,-10.923177,1.3624755,Male
12505,0.5104982,3.3518372,Female
8361,-3.2085881,7.3205194,Female
11032,3.1154504,3.8400702,Male
21647,9.023219,5.377509,Male
16856,-8.947325,1.212173,Male
22927,-3.82422,-5.2976456,Female
24853,-7.093479,7.710964,Male
18275,5.6675777,4.4163284,Female
22060,0.59294856,4.4563465,Male
26650,-6.0275235,1.4194155,Female
19191,-5.935034,6.950909,Female
16613,-4.634867,9.078157,Male
28040,-6.877974,2.7155664,Female
11815,-5.9094915,-2.0451539,Male
17671,-9.056765,6.039798,Male
1821,-5.6520877,-5.5757036,Male
22211,-2.04924,2.9778774,Male
21232,-2.4218066,2.5768888,Male
23442,4.5563507,2.1132848,Female
17734,1.5022074,-1.1441039,Male
8174,-1.6994963,7.786501,Female
3497,-4.0512996,10.733878,Female
18424,4.2965364,4.7106647,Female
2725,-4.46227,-4.719027,Male
8956,2.0220468,3.4085636,Female
19768,-2.8913636,2.8653433,Female
24882,-8.915386,-0.7734902,Male
12377,5.667884,-2.645488,Female
5086,3.3369844,4.2987466,Male
16543,-3.909446,10.468003,Male
7806,0.9950837,7.1929846,Female
26472,3.489613,2.3692663,Female
2609,4.1696253,2.607086,Male
6338,-7.933642,-3.6217813,Female
24273,5.851816,-1.3591962,Male
16247,-1.2720532,4.021115,Male
23587,-0.115441516,4.1175656,Female
20401,-1.1232307,3.1598861,Female
21279,-3.2691123,5.3141646,Male
3572,-2.3955564,11.727534,Female
26941,-2.6707466,-11.084591,Female
15334,-3.7247727,-0.47139725,Male
6747,-2.7217443,-3.6870346,Female
13728,-5.0832586,11.755383,Male
4487,-1.4719619,6.2303934,Female
17744,-5.8625073,0.3735985,Male
18159,2.7675524,-4.3274593,Male
17346,3.333454,-0.89553833,Male
711,-4.2765064,-4.1745715,Male
724,-6.189515,-4.338726,Male
12927,1.9087929,-6.021454,Female
16657,-3.695867,10.476018,Male
3434,-3.7296844,10.628715,Female
23306,-1.1412824,1.1090876,Female
4462,1.2666742,0.16652584,Female
12302,11.361645,2.7449858,Female
921,-2.2715468,-9.802313,Male
1394,-2.6259763,-8.546076,Male
4328,-4.610117,4.854831,Female
5059,-5.096159,5.7590246,Male
25483,-8.200558,-2.0049448,Male
11863,9.5226965,1.7871134,Male
7586,0.62267834,3.883627,Female
26428,1.3901566,6.739749,Female
580,-8.573438,-2.0568845,Male
11010,6.9592037,-2.4870064,Male
13855,-5.037939,-4.2947187,Male
23021,-0.92027384,5.1920886,Female
20962,-4.2078195,6.7926126,Female
16254,-0.123744816,3.869314,Male
3672,7.433062,3.002195,Female
18858,9.264331,4.9886513,Female
26230,-3.6162786,3.7439423,Female
17720,1.8759097,-1.4077228,Male
15978,-4.372343,0.16262582,Male
4222,-4.0854545,4.7733426,Female
18590,0.82460386,7.306769,Female
26774,4.3622556,0.9242114,Female
26817,-2.3098981,5.630558,Female
10127,-3.450759,9.378219,Male
1258,-6.2185435,-3.0810173,Male
6515,8.5354805,4.4525805,Female
13497,6.853289,2.0042002,Female
3633,-1.994095,4.640957,Female
5063,-3.2684534,-5.6749396,Male
17213,2.100238,-2.5065136,Male
14950,-2.666746,-9.841419,Male
8465,0.7776281,-8.299813,Female
12148,7.6035852,1.3415382,Female
15676,-5.188357,10.490758,Male
5900,2.9102635,-0.18796374,Male
15395,-0.71091163,9.201523,Male
9153,-1.3725139,7.3229012,Male
19273,4.056862,9.92143,Female
17590,7.2445755,1.8008981,Male
20267,-5.264912,6.0200167,Female
3171,1.5806534,5.3430476,Female
17842,4.7655177,2.246164,Male
21138,-5.0518756,5.127337,Female
20476,-0.24209523,6.3658533,Female
24569,1.3546631,-4.2715154,Male
21390,-1.3962338,-10.276959,Male
17399,0.92498726,-4.725865,Male
19016,8.345402,2.3696558,Female
5846,-3.143065,4.1791415,Male
837,-9.486273,-2.011251,Male
25599,1.1571658,-5.021286,Male
3887,-2.3969905,1.930866,Female
19979,-2.24317,6.241481,Female
11286,1.5594989,-3.8943188,Male
19650,3.7128906,6.5317583,Female
15171,2.784604,2.4801316,Male
26808,5.1091495,-3.0527277,Female
16362,1.47475,5.41709,Male
6282,-7.5771213,-4.346169,Female
26182,-2.4211245,-12.084019,Female
1694,-7.4761195,-5.0129247,Male
13505,7.8491464,0.44794282,Female
8829,2.4993758,3.7866547,Female
6544,-5.947752,-4.3387485,Female
4005,-2.411595,1.3123592,Female
10423,10.598795,2.0309904,Male
24490,0.3550317,-2.778827,Male
20550,-0.6365739,3.045435,Female
22551,1.9956251,5.6430793,Male
18893,-1.0126944,1.2615787,Female
2237,-2.547557,-2.9972975,Male
15832,-4.321905,9.045286,Male
8146,2.6474686,4.0602975,Female
15938,-2.409877,-8.630954,Male
20723,-5.4184623,3.9309444,Female
9642,0.07419399,-1.809533,Male
14975,-4.290948,11.129737,Male
26947,-4.0877934,-9.98896,Female
27638,1.7624322,1.7594156,Female
9529,-3.5594597,8.990863,Male
8423,0.72277635,7.619374,Female
5721,-5.732331,2.7821217,Male
12066,3.0902338,-3.7797039,Male
17444,-2.7599647,-0.9315801,Male
22994,-3.769009,-8.937945,Female
20510,-8.602283,4.8798246,Female
25387,6.491456,-1.3137895,Male
27762,-4.0567703,-1.7427169,Female
8406,-0.8271717,5.801808,Female
8608,1.7059616,6.2134953,Female
19990,-0.25294024,5.240594,Female
24584,-7.234543,-1.7069215,Male
16298,-0.52835745,3.7859302,Male
6490,9.9743395,4.2749233,Female
15533,-1.3114324,-3.02447,Male
13101,3.1229627,-1.7989223,Female
15750,-5.744633,9.870688,Male
18334,9.019465,2.6519833,Female
2312,-1.7514489,1.9632415,Male
19735,-8.263996,3.905368,Female
19757,-2.5135252,2.7133524,Female
17651,3.726348,-0.18920986,Male
14474,4.985358,-4.500576,Male
22863,-1.2727716,4.6526985,Female
16130,-0.51438224,-0.7690537,Male
22467,3.425903,3.844652,Male
12811,9.864033,-1.1384938,Female
15918,-5.4100285,2.7269106,Male
23145,-1.8575822,-7.976867,Female
14573,1.7162458,1.7407519,Male
2018,-4.7112627,11.631109,Male
20558,-1.1626146,-0.3252178,Female
4842,-8.0124445,5.0508094,Male
26633,-0.71794075,2.1898901,Female
18682,-2.2839015,9.087149,Female
5740,-7.198718,6.8593664,Male
25010,3.599848,-3.5393457,Male
4094,-5.512174,7.774659,Female
22268,3.4161723,3.8465788,Male
23623,-5.217451,2.3725007,Female
22332,1.338566,6.473168,Male
18654,4.666338,4.8562074,Female
3531,11.240487,2.7220078,Female
28572,9.905715,2.598953,Female
16510,-5.410349,7.018432,Male
13734,-2.9618974,-9.562121,Male
19916,-1.4028071,-0.18638808,Female
12642,8.754489,0.4785455,Female
13872,-7.5891685,5.910457,Male
16332,-3.096541,-10.1086645,Male
23121,-3.1284752,-7.2425075,Female
17038,-6.6486826,-2.6201003,Male
7870,-1.0722708,3.1906452,Female
1732,-1.8039007,-6.70171,Male
6930,-9.011042,-3.8060462,Female
7139,-2.7910166,-10.313234,Female
6973,-0.9286956,-6.009358,Female
14712,-4.71885,-1.7473278,Male
18358,-7.739633,8.175488,Female
18192,1.7741235,5.6321917,Female
3894,-7.148569,10.456945,Female
8404,-1.9446483,6.4635787,Female
10859,4.647844,-3.3830698,Male
17867,-9.614012,6.1296463,Male
4934,-2.757573,-4.7159643,Male
13083,7.5084186,-2.5552597,Female
1458,-8.353671,-2.5168395,Male
21819,1.7396688,8.995699,Male
27721,-0.4202436,2.107403,Female
21543,-0.9811833,0.97950155,Male
7921,-1.7714113,8.081243,Female
21132,9.088776,4.9565845,Female
22230,2.97903,1.8431007,Male
27944,-2.278226,4.5158167,Female
8607,-2.991939,5.540659,Female
5999,-4.482111,6.1808634,Male
21022,-0.56089807,-5.237621,Female
7216,-8.416247,-4.074196,Female
8918,0.08871036,7.7721076,Female
5792,7.4697533,5.326488,Male
25514,3.4731913,-3.6848145,Male
2301,-1.7403446,11.125733,Male
7285,-8.599997,-3.7001884,Female
379,-1.6246806,-8.974429,Male
9761,-2.2497067,-11.902552,Male
3950,4.908317,5.6961827,Female
11717,4.8681593,1.5479552,Male
15236,-1.9811956,-9.264755,Male
14853,1.095197,-3.0229657,Male
8611,-0.4369247,6.0274606,Female
18686,0.81978595,-0.38555616,Female
6051,0.5863426,8.9593115,Male
4509,2.5285213,1.7480767,Female
9119,3.806163,-0.9437225,Male
27966,7.6541166,5.98453,Female
7185,-2.9570765,-9.036968,Female
19796,-8.474718,4.479969,Female
22171,5.0447087,8.241997,Male
20094,-8.961123,2.4310546,Female
399,-1.9943502,3.718033,Male
20419,-5.561244,6.456831,Female
17837,-9.916933,-0.025033852,Male
2503,-2.9907005,-6.6706743,Male
8059,0.40965483,7.2165556,Female
20398,-2.736367,2.160978,Female
21703,2.6108692,4.181218,Male
26807,3.91646,-0.66051924,Female
13837,-2.6968625,-9.6122465,Male
5371,-4.435373,4.5931582,Male
19475,-6.3756437,7.865907,Female
12116,6.706631,-1.628144,Male
20158,-4.931368,-0.88209456,Female
2422,-4.936389,6.841122,Male
467,-6.342476,3.8147075,Male
21192,-7.718767,3.4907346,Female
17090,-0.58056825,-2.9699366,Male
16641,-6.075664,10.1637125,Male
19814,-7.350319,6.156236,Female
22992,-3.427489,-8.567041,Female
12621,6.458683,-2.4101186,Female
28578,-4.469308,5.9691277,Female
17291,0.4536821,-0.22552331,Male
12023,5.46215,-1.7786582,Male
7782,1.4373229,6.0544186,Female
8623,-0.37035555,5.059816,Female
25584,6.211915,1.3184197,Male
13713,-3.790497,-0.121058404,Male
407,-3.5386198,-8.915668,Male
8425,-8.413144,6.85224,Female
8994,0.2611739,8.941592,Female
26496,3.5452363,1.5786481,Female
23572,2.2180476,9.025624,Female
6687,-4.2317743,-2.217014,Female
22613,2.206894,10.521225,Male
25039,5.9562416,-0.5351231,Male
17147,-5.548982,-2.9094758,Male
8843,0.70052546,4.6951346,Female
17913,8.5292225,4.301337,Male
8937,-1.4090174,2.9451988,Female
177,-5.1092796,-4.789216,Male
8195,-6.156161,5.8549604,Female
26351,5.386963,1.124819,Female
23490,-0.8053173,4.311067,Female
19004,0.55763847,4.106275,Female
20974,-5.727371,6.346147,Female
295,-3.7723486,-8.863157,Male
20371,1.0688108,7.3412843,Female
16723,8.509494,0.25369495,Male
10342,-2.612449,-11.265809,Male
18396,8.375217,5.273757,Female
14809,-11.427795,0.23530763,Male
10210,-5.022547,4.176423,Male
5244,1.9295591,6.79386,Male
27741,-5.6832957,6.1594605,Female
11309,6.1050453,-2.7805784,Male
8576,-1.5238075,-3.3159275,Female
20692,-6.579162,4.776314,Female
6065,-4.256143,-3.7088015,Female
21712,-2.103441,-7.514109,Male
26276,-3.3229806,-3.9776525,Female
42,-9.526881,0.024475774,Male
10297,-3.412863,2.106288,Male
3570,0.96027905,1.0560312,Female
26636,1.4136078,3.9626114,Female
16745,2.5397909,-1.8226933,Male
8289,0.64051497,7.5869193,Female
4049,7.252732,6.061058,Female
19285,-2.5909348,-11.440294,Female
26848,1.7355449,5.9832935,Female
8588,-4.5947566,-6.886064,Female
17176,-6.0965395,-3.8177507,Male
19278,-4.5749626,6.754406,Female
5811,5.6170173,2.2286713,Male
21561,4.761508,1.3997688,Male
26130,-8.58847,-5.425428,Female
18483,2.0374708,5.3137803,Female
420,-11.134384,2.4384472,Male
9931,-5.7045016,9.690067,Male
12571,1.4293221,-1.985716,Female
7958,-0.33943775,0.030339612,Female
22757,-3.6914783,-9.78311,Female
27196,-1.1729333,6.093124,Female
9629,-0.4714786,2.8456497,Male
18102,1.1328516,-1.4327631,Male
18560,-0.4644286,-1.3479662,Female
22267,-3.0011342,3.671408,Male
18345,-2.3154895,5.4699545,Female
13726,-5.4546638,9.539739,Male
9197,-1.4600492,-9.99189,Male
2640,-3.4007607,10.8902235,Male
20494,-1.0747166,3.402978,Female
26749,-7.138651,0.2301431,Female
20882,6.9489026,4.4395266,Female
8764,-0.0006447765,7.4647474,Female
87,-1.0214053,-8.447874,Male
26363,4.0127463,2.103911,Female
26047,-2.6573813,-0.25402552,Female
479,-8.617388,5.164906,Male
9059,1.1706396,6.437614,Female
12727,8.89147,0.13310176,Female
13613,1.7842488,-0.74504626,Female
20084,-6.0376463,4.731736,Female
21905,-1.117265,-6.399612,Male
2483,-0.46975625,10.68256,Male
10193,-4.6151657,-6.418687,Male
8839,-0.2728379,2.2126296,Female
13868,-5.5293307,-2.4473825,Male
27198,3.2843401,2.5805595,Female
11582,6.2977867,-0.55814475,Male
21147,-4.3745623,5.276196,Female
6415,-2.3112478,-9.008324,Female
8349,0.40304416,7.674539,Female
24100,0.18116002,3.6110005,Female
26249,-4.6079087,3.2264953,Female
27704,1.4930269,2.7248015,Female
12758,8.991097,0.52077436,Female
14301,-7.320151,4.077287,Male
906,-2.0093758,-7.904185,Male
27902,-2.684048,5.4078364,Female
4074,-1.8630062,10.448815,Female
10852,5.8018622,-2.623507,Male
